title,released,genres,description,link
Borg McEnroe,2017,drama film/biographical film/sport film,racket sport played on a court bisected by a net,http://www.wikidata.org/entity/Q27590730
Boris Becker: Der Spieler,2017,biographical film,German tennis player,http://www.wikidata.org/entity/Q45367615
Born to Be Blue,2017,drama film/biographical film/romance film,American jazz trumpeter and vocalist (1929-1988),http://www.wikidata.org/entity/Q20755772
Brain on Fire,2017,drama film/biographical film,rare disease/American journalist and writer,http://www.wikidata.org/entity/Q20708474
Bras de fer,2017,documentary film,,http://www.wikidata.org/entity/Q50379046
Bright Nights,2017,drama film,human bond between a father and his child/formation of close personal relationship between men/non-existance of a relationship between family members,http://www.wikidata.org/entity/Q28532757
Call Me by Your Name,2017,drama film/romance film/coming-of-age fiction/romantic drama/LGBT-related film,"positive stance toward LGBTQ+ people, opposing any stigma, discrimination, or violence/brief but emotionally close or intimate interaction between two or more persons",http://www.wikidata.org/entity/Q25136757
Ceremony: The Return of Friedrich Engels,2017,documentary film,"German philosopher, sociologist and economist (1820–1895)",http://www.wikidata.org/entity/Q61642110
Chappaquiddick,2017,political drama/film based on actual events,car accident in 1969 on Chappaquiddick Island,http://www.wikidata.org/entity/Q30544669
Chasing Coral,2017,documentary film,"ridge of rock in the sea formed by the growth and deposit of coral/breakdown of relations between the coral host and zooxanthallae, leading to loss of colour",http://www.wikidata.org/entity/Q33109396
Chosen and Excluded – Jew Hatred in Europe,2017,documentary film,"hostility, prejudice, or discrimination against Jews",http://www.wikidata.org/entity/Q30235464
Chris Brown: Welcome to My Life,2017,documentary film,"American R&B singer, songwriter, rapper, dancer, actor and record producer",http://www.wikidata.org/entity/Q45371869
Churchill,2017,drama film/biographical film/thriller film,"British statesman, soldier and writer (1874–1965)",http://www.wikidata.org/entity/Q28869528
Clive Davis: The Soundtrack of Our Lives,2017,documentary film,American music executive (born 1932),http://www.wikidata.org/entity/Q70218109
Closet Monster,2017,drama film/coming-of-age fiction/LGBT-related film,romantic or sexual attraction or behavior between members of the same sex or gender,http://www.wikidata.org/entity/Q20814480
Converso,2017,documentary film,adoption of religious beliefs,http://www.wikidata.org/entity/Q98847186
Cook Off,2017,comedy film/romance film,television genre involving food preparation,http://www.wikidata.org/entity/Q61672502
Corpo Elétrico,2017,drama film,"lesbian, gay, bisexual, and transgender persons",http://www.wikidata.org/entity/Q48879272
Countdown to Death: Pablo Escobar,2017,documentary film,Colombian drug lord (1949–1993),http://www.wikidata.org/entity/Q47516458
Crimea,2017,drama film/action film,dispute between Russia and Ukraine over the status of Crimea,http://www.wikidata.org/entity/Q32362348
Cyborgs: Heroes Never Die,2017,drama film/action film/war film,2014–2022 war between Ukraine and Russia in the Donbas region of Ukraine/2014–2015 battle during the Donbass War,http://www.wikidata.org/entity/Q30962895
Darkest Hour,2017,drama film/war film/biographical film,"British statesman, soldier and writer (1874–1965)/evacuation of Allied soldiers from the beaches and harbour of Dunkirk, France, between 27 May and 4 June 1940/Phrase used to refer to World War II in 1940–1941",http://www.wikidata.org/entity/Q27958298
Daydream Hotel,2017,fantasy film,"series of images, thoughts, and emotions, often with a story-like quality, generated by mental activity during sleep; the state in which this occurs",http://www.wikidata.org/entity/Q31210010
Dealt,2017,documentary film,American card manipulation expert,http://www.wikidata.org/entity/Q37325864
Deej,2017,documentary film/propaganda film,discredited communication technique in disabled care,http://www.wikidata.org/entity/Q55393439
Deidra & Laney Rob a Train,2017,drama film/comedy film/crime film,"type of robbery, in which the goal is to steal money or other valuables being carried aboard trains",http://www.wikidata.org/entity/Q28114644
Denial,2017,drama film/biographical film/historical film/film based on books,case in English law against American author Deborah Lipstadt and her publisher Penguin Books,http://www.wikidata.org/entity/Q21527601
Dennis Skinner: Nature of the Beast,2017,documentary film,British politician (born 1932),http://www.wikidata.org/entity/Q38463414
Desert Coffee,2017,documentary film,community in California,http://www.wikidata.org/entity/Q113134546
Didi Contractor - Marrying the Earth to the Building,2017,documentary film,German-American architect,http://www.wikidata.org/entity/Q106719445
Django,2017,drama film/biographical film,Romani-Belgian /French jazz musician (1910–1953),http://www.wikidata.org/entity/Q28128762
Dolphin Man,2017,documentary film/biographical film,holder of many world records in free diving,http://www.wikidata.org/entity/Q62018311
Don't call him Dimon,2017,muckraker,President of Russia from 2008 to 2012,http://www.wikidata.org/entity/Q28864595
Dunkirk,2017,drama film/war film,"evacuation of Allied soldiers from the beaches and harbour of Dunkirk, France, between 27 May and 4 June 1940",http://www.wikidata.org/entity/Q21935651
Dustards,2017,documentary film,long-distance journey on the road,http://www.wikidata.org/entity/Q29588705
Eagles of Death Metal: Nos Amis (Our Friends),2017,documentary film,American rock band,http://www.wikidata.org/entity/Q28494655
El Che,2017,documentary film,Argentine Marxist revolutionary (1928–1967),http://www.wikidata.org/entity/Q47458117
El fin de ETA,2017,documentary film,former armed Basque separatist group (1959–2018),http://www.wikidata.org/entity/Q48143013
Embrace,2017,documentary film,socially constructed norm relating to female body image,http://www.wikidata.org/entity/Q24628873
"Emmanuel Macron, les coulisses d’une victoire",2017,documentary film,President of France and Co-Prince of Andorra since 2017,http://www.wikidata.org/entity/Q29889275
End of Life,2017,documentary film,final process of life,http://www.wikidata.org/entity/Q87912196
Esteros,2017,drama film/romance film/LGBT-related film,"strong, positive emotion based on affection/romantic or sexual attraction or behavior between members of the same sex or gender",http://www.wikidata.org/entity/Q28818937
Eve's Apple,2017,documentary film,ritual cutting or removal of some or all of the external female genitalia,http://www.wikidata.org/entity/Q47444670
Eye in the Sky,2017,drama film/war film/thriller film,"use of violence as a form of political, economic and religious coercion",http://www.wikidata.org/entity/Q18149766
Facing Darkness,2017,documentary film/drama film/documentary,human disease,http://www.wikidata.org/entity/Q28848480
Fail State,2017,documentary film,colleges that rely on investors to survive,http://www.wikidata.org/entity/Q104864536
Ferrante Fever,2017,documentary film,pseudonymous Italian writer,http://www.wikidata.org/entity/Q117100842
Ferrari: Race to Immortality,2017,documentary film,Formula One team,http://www.wikidata.org/entity/Q108919280
Fevereiros,2017,documentary film,Brazilian singer,http://www.wikidata.org/entity/Q111052432
First Time,2017,drama film/adventure film/historical film,"Soviet pilot and cosmonaut, first human to conduct a spacewalk (1934-2019)/activity done by an astronaut or cosmonaut outside a spacecraft/Soviet crewed spacecraft",http://www.wikidata.org/entity/Q21637453
First to print,2017,documentary film,"publisher of the first Belarusian book, Czech typographer, translator, writer, humanist and entrepreneur",http://www.wikidata.org/entity/Q95859949
Fittest on Earth: A Decade of Fitness,2017,documentary film,,http://www.wikidata.org/entity/Q47539784
Flatliners,2017,drama film/horror film/science fiction film,"personal experiences associated with impending death/term in philosophy, religion, mythology, and fiction",http://www.wikidata.org/entity/Q26252643
